pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
16.034656,2.0,,4473.0,0.675,0.754,Transit
0.515013,26.1,,,1.3,,Transit
0.5150196,36.2,,,1.23,,Transit
28.077484,67.3,,,1.54,,Transit
20.943909,591.1,,,11.57,,Transit
20.94388,170.0,,,12.43,,Transit
23.510811,18.4,,,0.97,,Transit
12.364531,36.3,,,0.76,,Transit
6.421719,15.3,,,1.1,,Transit
0.515513,3.4,,,0.75,,Transit
7.269213,163.0,,,6.93,,Transit
7.269622,32.9,,,0.73,,Transit
16.692356,17.0,,,0.9,,Transit
4.17471430219,13.70940899,,5859.0,1.08854,,Transit
4.175235,12.77,,,1.0878,,Transit
4.175186,12.92,,5950.0,1.1,1.1,Transit
4.1752387,13.843115,1022.14128,6149.0,1.155,1.222,Transit
4.175187,13.4,,,1.15,,Transit
15.20726,26.2,,,1.59,,Transit
15.207101,12.7,,,0.84,,Transit
1.319474,16.6,,,1.54,,Transit
1.3194719,14.3,,,1.31,,Transit
15.38857,2.35,8.7,5942.0,1.115,0.989,Transit
15.3863,2.41,5.7,5961.0,1.093,0.92,Transit
15.3886606556,2.53826377,,6101.0,1.0623,,Transit
15.388825,2.22325951,,5934.0,1.040375,0.950497,Transit
15.387063,2.39,,6058.0,1.09,1.0,Transit
15.386796,2.1,,,0.96,,Transit
2.311162,51.6,,,1.58,,Transit
8.596802,2.43,,5854.0,1.27,1.05,Transit
8.59656,2.51,,5875.0,1.236,1.03,Transit
8.59627,2.6,,,1.251,,Transit
8.596531,2.21567504,,5768.0,1.123168,1.022196,Transit
8.596724,2.5,,,1.29,,Transit
13.68275,2.62,,,1.056,,Transit
13.68186,2.37,,5612.0,1.026,0.91,Transit
13.683256,2.39,,5660.0,1.02,0.96,Transit
13.682511,2.21473364,,5599.0,0.929546,0.959636,Transit
13.683038,2.3,,,0.99,,Transit
2.1747824,1.79105,,4542.0,0.71,,Transit
2.174829,1.63,,,0.638,,Transit
2.174789,1.67844825,,4591.0,0.665648,0.699496,Transit
2.174789,1.66,6.1,4495.0,0.699,0.72,Transit
2.1748,1.75,8.0,4503.0,0.72,0.7,Transit
2.174782,1.63,,4658.0,0.69,0.74,Transit
2.174769,1.7,,,0.71,,Transit
23.6088,3.43,,,1.203,,Transit
23.607902,3.11864589,,6057.0,1.115157,,Transit
23.610939,3.0,,,1.09,,Transit
4.284523,1.30280156,,4360.0,0.62182,,Transit
4.28446,1.98,,,0.934,,Transit
4.28475,1.2,,,0.55,,Transit
9.795647,2.65,,4349.0,0.678,0.622,Transit
9.795546,2.6,,,0.67,,Transit
9.79546,2.57,,,0.648,,Transit
9.79551,2.52,,4272.0,0.65,0.67,Transit
9.79565352601,2.82375991,,4147.0,0.706632,,Transit
9.7954,2.39257704,,4349.0,0.598075,0.621928,Transit
12.092216,4.7,,,0.84,,Transit
12.09259,14.7,,,2.46,,Transit
12.092199,5.84432297,,5333.0,0.990979,,Transit
17.093319,17.7,,,0.426,,Transit
17.093491,32.5,,,0.66,,Transit
3.83553,1.054,,,0.321,,Transit
3.835592,1.35,,3585.0,0.429,0.44,Transit
3.835476,1.49,,3695.0,0.45,0.47,Transit
3.835376,1.5,,,0.45,,Transit
4.024881,10.3,,,0.73,,Transit
4.0248735,11.6786,,4492.0,0.75,,Transit
4.02488968,,,4444.0,0.7,0.74,Transit
4.0248883,9.56,,,0.665,,Transit
4.024867,10.054473,106.47305,4444.0,0.7,0.74,Transit
15.960128,19.5,,,0.87,,Transit
4.169746,2.7,,,0.93,,Transit
4.169783,2.5,,5499.0,1.0,,Transit
4.17032,3.19,,,1.013,,Transit
4.169836,2.82,,5523.0,0.94,0.95,Transit
5.23587,4.86,,,1.248,,Transit
5.235714,4.3,,,1.17,,Transit
1.921036,3.52,,5060.0,0.82,0.89,Transit
1.921111,3.23,,,0.709,,Transit
1.921076,3.8,,,0.86,,Transit
21.77635,37.0,,,1.122,,Transit
21.776971,19.9,,,0.84,,Transit
8.904519,36.9,,,0.89,,Transit
8.90003342005,15.12617706,,5854.0,1.0044,,Transit
8.904672,26.1,,,1.014,,Transit
8.687812,7.36,,,0.664,,Transit
8.687721,8.18,,4812.0,0.76,0.82,Transit
8.687708,8.1,,,0.75,,Transit
28.735998,4.0,,,0.35,,Transit
