pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
1.689868,13.45,375.02,6210.0,1.32,1.305,Transit
1.2119189,15.278,441.77,6050.0,1.363,1.228,Transit
27.9481449,2.43,43.0,4362.0,0.58,0.62,Transit
5.508023,11.153,62.61,4803.0,0.749,0.77,Transit
33.60134,9.057,1907.0,5155.0,0.938,0.902,Transit
3.352057,16.7,1274.44,6250.0,1.15,1.2,Transit
55.01292,13.2,854.9627,5329.0,0.91,0.94,Radial Velocity
6.673892,13.0,1239.537,5544.0,1.07,1.01,Radial Velocity
147.747,13.6,416.3573,5544.0,1.07,1.01,Radial Velocity
623.8,13.9,276.5121,5904.0,1.18,0.98,Radial Velocity
0.926118,1.72,7.42,5596.0,1.13,0.9,Transit
,16.25302201,3178.28407,9540.0,1.5,2.32,Imaging
1.6284279,12.184,502.15,5700.0,1.029,0.96,Transit
,14.0,230.0,,,0.1,Microlensing
3.257215,13.585,198.953,5680.0,1.103,1.025,Transit
1078.0,13.2,804.08,5872.0,1.21334,1.06,Radial Velocity
2391.0,14.2,171.621,5872.0,1.21334,1.06,Radial Velocity
237.6,12.5,104.0,4746.0,0.71,0.74,Radial Velocity
4.3123,1.83,4.0,4956.0,0.716684,0.77,Radial Velocity
51.76,2.13,5.2,4956.0,0.716684,0.77,Radial Velocity
7.919585,8.687,274.276,4650.0,0.613,0.719,Transit
4885.0,13.0,1137.82569706,5988.0,1.53,0.91,Radial Velocity
981.8,14.1,187.5197,5544.0,1.07,1.01,Radial Velocity
160.07,14.2,177.9848,5726.0,0.89,1.05,Radial Velocity
577.2,13.8,296.85322,4915.0,3.49,1.33,Radial Velocity
,12.3,4767.45,3410.0,0.668108,0.33,Imaging
11.008151,2.13,5.18,4351.0,0.566,0.596,Transit
330.0,13.7,400.46379282,5025.4,4.17,1.52,Radial Velocity
8.886593,13.068,940.74,6090.0,1.025,1.05,Transit
,33.6,6356.0,4360.0,1.94153,0.7,Imaging
835.477,12.4,3524.59,4445.0,20.9,2.17,Radial Velocity
5.8881,13.3,116.0,6489.0,1.581047,1.335,Radial Velocity
7.8543,4.31,17.162,5783.0,1.294595,1.047,Radial Velocity
989.2,13.8,298.75,6218.0,1.1,1.11,Radial Velocity
2149.0,13.0,1150.5446,4915.0,3.49,1.33,Radial Velocity
328.55,13.7,390.9309,6032.0,1.34,1.21,Radial Velocity
1558.0,14.0,212.9461,5652.0,1.13,1.03,Radial Velocity
13.121632,1.81,3.93,6133.0,1.335,1.163,Transit
7.685,2.58,11.02,4413.0,0.667,0.681,Transit
3160.0,13.3,730.978,32780.0,0.151,0.459,Eclipse Timing Variations
,2.7,7.75,,,0.069,Microlensing
345.72,13.6,451.0,4962.0,0.75,0.78,Radial Velocity
5000.0,13.9,260.0,5585.0,1.25,1.1,Radial Velocity
,13.5,549.84314411,,,0.58,Microlensing
1.5732918,14.247,403.945,5400.0,1.058,1.004,Transit
138.317,6.18,169.0,6407.0,1.734,1.528,Transit
38.871826,2.87,48.5,5619.0,0.915,0.927,Transit
30.0,,100.0,5471.0,1.118,1.003,Transit Timing Variations
28.579743,3.195,8.0,5348.0,0.94,0.81,Transit
25.262,0.338,0.02,,,1.4,Pulsar Timing
98.2114,1.8,3.9,,,1.4,Pulsar Timing
31.80634,1.07,1.24,4990.0,0.75,0.8,Transit
30.8638931,2.89,8.7,6112.0,1.65,1.19,Transit
0.645088,0.43,0.0472,4895.97,0.668,0.656,Transit
20.201085,1.948,4.45,4663.0,0.663,0.746,Transit
1027.0,13.9,270.144,6308.0,1.21,1.22,Radial Velocity
842.2,14.0,235.18,5900.0,2.16,1.25,Radial Velocity
1313.0,14.0,216.1244,6136.0,1.19,1.13,Radial Velocity
3.353728,1.98,37.9,4258.0,0.555,0.541571,Transit
2.8641424,15.389957,225.34147,6250.0,1.48,1.405,Transit
13.32388301,2.02,4.74,4554.0,0.66,0.7,Transit
1.937055,0.89,0.64,3944.0,0.485,0.575,Transit
4.164389,2.37,6.21,3810.0,0.512,0.542101,Transit
4.6938,3.33,11.09,3600.0,0.36463,0.35,Radial Velocity
197.0,4.45,18.1,5385.0,0.886947,0.86,Radial Velocity
143.58,13.4,117.59,4995.0,0.850835,0.7,Radial Velocity
2.225177,1.589,6.49,5520.0,0.899,0.934,Transit
0.1120067,11.13051784,6356.56814,15900.0,0.0131,0.61,Transit
21.789,2.67,7.6,3688.0,0.4712,0.489,Radial Velocity
3.7681,11.43,772.29,5740.0,1.59,1.04,Transit
1544.0,13.6,473.547,6289.0,1.29577,1.231,Radial Velocity
6.790123,12.733,2669.66,6395.0,2.048,1.512,Transit
1916.25,,2447.2,5286.9,,0.7,Eclipse Timing Variations
2.5199454,16.623,271.415,6110.0,1.47,1.24,Transit
,12.5,2860.0,3433.0,1.33658,1.0,Imaging
456.1,13.1,982.05,6304.0,1.13864,1.25,Radial Velocity
712.13,12.6,2330.0,4380.0,23.47,2.1,Radial Velocity
711.0,12.7,2080.0,4970.0,10.09,1.91,Radial Velocity
589.64,13.3,731.0,4892.63,8.9,2.0,Radial Velocity
3.28883,10.51358773,90.3,5800.0,1.27,1.12,Transit
3.517494394,1.37,2.45,4184.0,0.57,0.59,Transit
982.0,13.4,657.0,5194.0,0.89,0.88,Radial Velocity
3000.0,12.3,4000.0,5476.0,1.01,1.0,Radial Velocity
1.27492504,19.64934317,367.7274669,6776.0,1.458,1.358,Transit
46.183669,2.22,5.56,4255.0,0.554,0.581,Transit
9.61375356,3.03,9.43,5744.0,0.96,0.98,Transit
2.724033,18.14733975,632.47852993,8000.0,2.36,2.03,Transit
101.12,13.0,112.2,5348.0,0.94,0.81,Radial Velocity
3.6451389,3.11976057,18.4,5908.0,1.0311,1.0844,Transit
2.9776412,14.773462,285.72917,5740.0,1.285,1.166,Transit
,13.5,514.88201934,,,0.32,Microlensing
36.337373,5.31,161.124,5723.0,0.899,0.95,Transit
2.470498,1.45,4.04,5475.0,0.92,0.91,Transit
35.736,4.3,49.4,6689.45,1.07,1.1,Transit
27.644,4.2427861,38.5,5841.0,1.6184,1.2313,Transit
228.776,8.4493,105.833,4450.0,0.6489,0.6897,Transit
8.929,1.43,2.64,3270.0,0.2105,0.181,Radial Velocity
15.0,1.421,3.79,6072.0,1.659,1.184,Transit
3.6906764,1.329,2.0,3415.0,0.3155,0.2923,Transit
22.714613,3.58,12.5,5786.0,1.491,1.164,Transit
13.233549,3.07,23.1,5751.0,1.43,1.229,Transit
4.64489,1.6,4.13,4540.0,0.678,0.73,Transit
2.382961,1.77,885.098,5428.0,0.945,0.946,Transit
5.477433,17.59813,149.3801,6900.0,1.91,1.49,Transit
3.73543,20.96083,247.9074,6550.0,1.49,2.28,Transit
9.38755,14.01125,311.4734,5900.0,1.5,1.12,Transit
5.444017,2.06,4.9,3778.0,0.51,0.54,Transit
6.71837,6.38913,47.6745,5970.0,0.79,1.08,Transit
4.86069,12.11,85.81,6040.0,1.19,1.09,Transit
279.8,13.6,435.41,6176.0,1.33,1.22,Radial Velocity
4.2568,11.32,6883.91,6740.0,1.56,1.37,Transit
8.0277283,9.34085,51.42,5962.7,1.15,1.156039,Transit
613.2,12.9,1589.15,4155.0,39.0,1.8,Radial Velocity
20.03479958,2.89459458,8.72,6120.0,2.0,1.251,Transit
760.0,12.0,7532.571,,,1.98,Eclipse Timing Variations
16.78176602,2.32,5.99,4990.0,0.76,0.82,Transit
59.65829849,3.01299077,9.34,5243.0,0.831,0.887,Transit
571.25,12.5,2800.0,5636.0,1.4286,1.0373,Radial Velocity
60.888588,5.27,24.14271827,5884.0,1.5,1.097,Radial Velocity
17.849,3.1,6.1,6492.3,1.25,1.0,Transit
3.6313,11.77,889.9,5900.0,1.61,1.14,Transit
1.2137672,0.78,0.705944,3068.0,0.17,0.13,Transit
7300000.0,12.3,4449.62,2375.0,0.232692,0.016,Imaging
0.925542,17.127,473.547,6110.0,1.436,1.22,Transit
37.46852,2.9507845,19.5,5970.0,1.3137,0.9382,Transit
0.437811822,1.464,5.6,5165.0,0.78,0.87,Transit
7.768915,1.821,3.97,3710.0,0.535,0.559,Transit
19.254196,3.07,9.64,5804.0,0.957,0.934,Transit
6.941357,2.63,7.41,5526.0,0.903,0.933,Transit
264.284,2.18,5.4,5674.0,0.87,0.96,Transit Timing Variations
16.736525,2.609,7.31,4290.0,0.71,0.67,Transit
17.2559,2.72,6.2,3914.0,0.512,0.544,Transit
30.052,14.0,222.472,5793.0,1.0,1.0,Radial Velocity
192.9,13.4,578.426,5793.0,1.0,1.0,Radial Velocity
,13.9,279.68899816,,,0.67,Microlensing
17.28111,1.84,4.04,4347.0,0.492,0.653,Transit
26.723,2.6,6.1,5883.0,1.7,1.21,Transit
,1.38,2.48,,,0.61,Microlensing
223.92,14.0,127.1313628,6123.0,1.24,1.22,Radial Velocity
0.45328509,0.73,60.337,3068.0,0.17,0.13,Transit
25.751974,2.51,1.72,5232.0,0.891,0.86,Transit
47.903645,2.81,19.1,5786.0,1.491,1.164,Transit
38.5583038,3.17,36.0,5858.0,0.89,0.98,Transit
5.902206,2.47,254.02,5428.0,0.945,0.946,Transit
15.61031,3.08,10.3,5770.0,1.427,0.97,Transit
2.576549,1.6,235.982,4252.0,0.559,0.549,Transit
4.336429331,1.71,3.57,6144.0,1.57,1.22,Transit
56.35850143,4.54060463,18.7,5446.0,0.821,0.824,Transit
1.4857108,14.68,778.65,5781.0,1.01034,1.04,Transit
10.3507721,2.01,4.7,5682.0,0.97,0.98,Transit
14.12841,2.87,731.209,6105.0,1.046,0.845,Transit
1.796,12.666,3082.82,,1.45,1.1,Transit
8.70874,2.41,6.37,3641.0,0.529,0.528,Radial Velocity
48.056,9.6,66.741,5797.0,1.169193,1.12,Radial Velocity
1.93778,2.51,6.83,3293.74,0.3,0.32,Radial Velocity
124.26,3.92,14.6,3293.74,0.3,0.32,Radial Velocity
3.4059096,17.363,151.916,6302.0,1.252,1.163,Transit
0.792052,4.72,29.32,5443.0,0.949,1.02,Transit
20.342199,2.33,83.0,5806.0,1.032,0.963,Transit
5.433074,1.43,290.537,5232.0,0.891,0.86,Transit
36.8601,3.5,5.84,5732.0,1.324,0.921,Transit
0.916140768,0.65,0.208,4439.0,0.67,0.7,Transit
9.188526,2.888,8.69,5881.0,1.0,1.08,Transit
3724.7,13.6,460.8,5940.0,1.679696,1.16,Radial Velocity
,12.3,3994.486,3099.0,,0.35,Imaging
,12.2,5085.28,2838.0,,0.05,Imaging
10.8985,10.9,82.95,6255.73,1.20664,1.22,Radial Velocity
3.092514,13.9,291.12,6168.0,1.266865,1.21,Radial Velocity
461.2,13.6,476.72,5746.0,1.125296,1.09,Radial Velocity
87.6451,3.9,2161.244,6340.0,1.22,1.21,Transit
127.9075774,6.5,34.5,5808.0,1.01,1.01,Transit
7.81254,1.71,8.9,6225.0,1.58,1.24,Transit
452.8,13.4,632.46,5098.0,4.9,1.54,Radial Velocity
883.0,13.9,273.32,5098.0,4.9,1.54,Radial Velocity
3285.0,2.21,5.5,,,0.22,Microlensing
,11.7768,6991.57,6186.0,1.006954,1.08,Imaging
2.77596,14.448,1332.605,6158.0,1.237,1.218,Transit
380.8,13.4,572.07,4553.0,13.9,1.5,Radial Velocity
0.240104,0.759,0.44,27730.0,0.203,0.496,Orbital Brightness Modulation
